  id    ra_pix    dec_pix    major    minor    pa  ra_hms     dec_dms        maj_as    min_as    vmin_kms    vmax_kms    collide    v1    v2    v_ang  good    date
 117      1974       1223       24       16    90  0:39:16.8  +40:52:47.2       150       120        -403        -360          0  -395  -370       38  pv      250502-1801
 118      1940       1231       21       19    90  0:39:30.7  +40:53:28.8       115        98        -460        -420          0  -455  -425      158  pv      250502-1801
 119      1518       1232       14       12    45  0:42:36.8  +40:53:44.0        90        90        -410        -355          0  -405  -365      188  pv      250420-1554
 120      1632       1245       19       18    90  0:41:50.0  +40:55:05.1       120       120        -505        -450          0  -497  -454      158  pv      250420-1559
 121      1812       1250       15       13     0  0:40:27.1  +40:55:08.9        90        90        -510        -470          0  -502  -475      158  pv      250420-1602
 122      1503       1261       29       19   120  0:42:42.7  +40:55:50.0       140        97        -379        -340          0  -376  -353      158  pv      250502-1802
 123      1422       1262       19       10   130  0:43:19.2  +40:56:13.7       120       100        -370        -324          0  -360  -334       68  vv      250502-1803
 124      1769       1274       20       16    80  0:40:46.0  +40:57:10.2       100        80        -520        -490          0  -520  -490       38  nn      250420-1610
 125      1905       1282       15       13    90  0:39:46.0  +40:57:45.4        75        65        -562        -245          0  -562  -245       38  nn      250420-1610
 126      1708       1283       19       18     0  0:41:12.9  +40:57:59.7       180       180        -530        -420          0  -520  -440      128  nn      250502-1803
 127      1328       1287       16       15     0  0:44:00.7  +40:58:17.4       130       130        -360        -290          0  -348  -310      188  nn      250502-1803
 128      1820       1288       22       21     0  0:40:25.5  +40:58:18.6       110       105        -435        -380          0  -425  -395      128  pv      250420-1619
 129      1855       1290       23       21    90  0:40:08.0  +40:58:27.4       115       105        -430        -350          0  -430  -350       38  nn      250420-1620
 130      1621       1292       18       17     0  0:41:51.3  +40:58:43.2        90        85        -573        -442          0  -573  -442       38  nn      250420-1621
 131      1577       1293       23       21    90  0:42:10.7  +40:58:48.7       105       105        -500        -430          0  -500  -430       38  nn      250420-1622
 132      1970       1296       22       21     0  0:39:17.2  +40:58:52.3       110       105        -395        -350          0  -385  -355      158  nn      250502-1804
 133      1391       1313       24       19    90  0:43:32.9  +41:00:28.4       120       120        -360        -300          0  -343  -310       68  pp      250502-1805
 134      1759       1330       13       12     0  0:40:50.3  +41:01:50.5       120       120        -500        -400          0  -500  -400       38  nn      250420-1628
 135      1302       1332       15       14     0  0:44:12.2  +41:02:01.9       180       180        -350        -300          0  -350  -300       38  nn      250420-1630
 136      1402       1333       15       15     0  0:43:35.0  +41:02:08.5       120       120        -370        -300          0  -370  -300       38  nn      250420-1632
 137      1464       1333       17       16    90  0:43:02.7  +41:02:28.9       130       130        -400        -320          0  -375  -335       68  pv      250420-1636
 138      1826       1340       17       14   110  0:40:20.7  +41:02:38.4        93        84        -403        -375          0  -400  -380       38  pv      250502-1806
 139      1469       1359       16       14     0  0:42:58.4  +41:04:18.9        80        70        -400        -300          0  -400  -300       38  nn      250420-1639
 140      1937       1361       34       29     0  0:39:31.5  +41:04:18.9       170       145        -390        -340          0  -390  -340       38  nn      250420-1641
 141      1746       1363       21       19    90  0:41:02.0  +41:04:55.8       120       120        -453        -417          0  -453  -417       38  nn      250420-1644
 142      1433       1363       25       17    90  0:43:10.4  +41:04:38.8        94        87        -365        -320          0  -355  -325       98  pv      250502-1808
 143      1867       1369       18       18     0  0:40:02.4  +41:05:01.9        90        90        -420        -350          0  -420  -350       38  nn      250420-1701
 144      1344       1375       26       21    90  0:43:53.7  +41:05:37.7       130       105        -320        -280          0  -320  -280       38  nn      250420-1702
 145      1814       1381       17       17     0  0:40:27.8  +41:05:59.8        85        85        -400        -370          0  -397  -380      158  nn      250502-1808
 146      1684       1382       25       25     0  0:41:23.3  +41:06:12.2       150       150        -475        -420          0  -465  -427       38  pv      250420-1707
 147      1212       1393       19       16     0  0:44:52.2  +41:07:04.6       105       105        -300        -250          0  -287  -262       98  pv      250420-1709
 148      1717       1399       12       11    90  0:41:08.7  +41:07:36.5        60        55        -425        -390          0  -425  -390       38  nn      250420-1711
 149      1641       1408       22       16   150  0:41:42.3  +41:08:23.0       110        80        -450        -385          0  -450  -385       38  nn      250420-1712
 150      1694       1412       25       18   120  0:41:18.9  +41:08:42.0       180       150        -435        -375          0  -415  -385       38  nn      250502-1809
 151      1410       1416       38       23   120  0:43:24.6  +41:09:03.6       230       140        -360        -320          0  -355  -327       38  pv      250420-1717
 152      1735       1417       18       17    75  0:41:00.7  +41:09:06.1       140       120        -433        -363          0  -425  -373      158  pv      250420-1721
 153      1373       1423       17       17     0  0:43:41.0  +41:09:38.1       120       120        -320        -260          0  -305  -280       98  pv      250420-1723
 154      1805       1435       14       12     0  0:40:29.7  +41:10:34.1        70        60        -410        -320          0  -410  -320       38  nn      250420-1723
 155      1152       1440       50       49    90  0:45:18.9  +41:10:57.5       250       245        -285        -255          0  -275  -260       68  pv      250420-1725
 156      1387       1443       19       13    90  0:43:34.8  +41:11:18.3       120       120        -350        -300          0  -337  -312       98  nn      250502-1810
 157      1776       1447       16       15    90  0:40:42.5  +41:11:35.0       130       110        -380        -345          0  -369  -352      158  pv      250420-1729
 158      1259       1455       19       19     0  0:44:31.5  +41:12:15.9        95        95        -323        -295          0  -320  -300      128  nn      250502-1810
 159      1285       1471       22       15   110  0:44:20.0  +41:13:36.5       180       180        -310        -250          0  -300  -263      158  pv      250420-1733
 160      1226       1475       16       14     0  0:44:47.2  +41:13:55.0        90        90        -320        -230          0  -295  -252      188  pv      250420-1757
 161      1728       1478       19       19     0  0:41:03.7  +41:14:11.3        98        98        -370        -346          0  -367  -352       38  pv      250502-1815
 162      1354       1479       24       24     0  0:43:49.5  +41:14:17.9       150       150        -320        -270          0  -313  -278       98  pv      250420-1804
 163      1778       1487       17       17     0  0:40:41.5  +41:14:54.9       120       120        -370        -340          0  -370  -340       38  nn      250420-1805
 164      1890       1489       21       20    90  0:39:52.8  +41:15:01.0       120       110        -350        -315          0  -340  -327      128  pp      250502-1816
 165      1679       1489       23       20    90  0:41:25.4  +41:15:07.3       150       125        -412        -338          0  -389  -349       68  pv      250420-1812
 166      1080       1521       27       22   100  0:45:51.1  +41:17:39.6       135       110        -250        -220          0  -250  -220       38  nn      250420-1814
 167      1671       1541       13       11     0  0:41:30.3  +41:19:27.5       100        90        -350        -270          0  -350  -270       38  nn      250420-1816
 168      1214       1545       21       17     0  0:44:51.7  +41:19:44.6       105        85        -300        -200          0  -300  -200       38  nn      250420-1816
 169      1304       1546       16       13    80  0:44:11.8  +41:19:51.9       120       120        -280        -240          0  -280  -240       38  nn      250420-1817
 170      1552       1549       15       12     0  0:42:21.7  +41:20:08.9       120       120        -310        -240          0  -310  -240       38  vv      250420-1820
 171      1306       1554       10        7   130  0:44:10.9  +41:20:32.0       100       100        -280        -220          0  -280  -220       38  vv      250420-1821
 172      1045       1558       36       23   120  0:46:06.8  +41:20:42.9       180       140        -260        -235          0  -260  -235       38  nn      250421-1004
 173      1151       1563       18       17     0  0:45:19.7  +41:21:12.5       120       120        -265        -240          0  -260  -245       98  pv      250421-1006
 174      1712       1570       16       15    90  0:41:10.6  +41:21:51.6        80        75        -350        -315          0  -350  -315       38  vv      250421-1008
 175      1659       1571       15       15     0  0:41:34.1  +41:21:57.7        75        75        -330        -305          0  -330  -305       38  vv      250421-1009
 176      1291       1577       24       17    80  0:44:17.6  +41:22:26.7       140       130        -263        -215          0  -251  -227       68  pv      250421-1012
 177      1762       1585       24       15   130  0:40:48.3  +41:23:05.4       170       130        -324        -295          0  -320  -303       38  pv      250421-1015
 178      1810       1586       27       24     0  0:40:27.0  +41:23:08.9       120       120        -340        -303          0  -340  -303       38  pp      250421-1016
 179      1127       1587       18       18     0  0:45:30.5  +41:23:11.5        90        90        -275        -255          0  -275  -255       38  vv      250421-1018
 180      1671       1591       21       16   150  0:41:28.8  +41:23:37.5       130       110        -343        -290          0  -334  -310      158  pv      250421-1020
 181      1476       1606       30       28    90  0:42:55.4  +41:24:54.0       240       180        -300        -240          0  -288  -240      158  pp      250502-1818
 182      1230       1609       21       14   130  0:44:44.8  +41:25:05.1       140       120        -250        -200          0  -250  -207      188  nn      250502-1818
 183      1198       1609       20       19     0  0:44:59.0  +41:25:04.1       100        95        -265        -227          0  -250  -230       38  vv      250421-1032
 184       965       1615       18       15    90  0:46:42.6  +41:25:23.7       105        90        -252        -230          0  -244  -230       98  pv      250421-1034
 185      1337       1618       15       15     0  0:44:00.2  +41:26:22.6       100       100        -190        -110          0  -175  -137      158  pv      250421-1103
 186      1143       1619       29       25   100  0:45:23.5  +41:25:52.2       145       125        -255        -190          0  -255  -190       38  vv      250421-1104
 187      1728       1634       23       22     0  0:41:03.3  +41:27:11.3       150       150        -310        -280          0  -303  -285       68  pv      250421-1437
 188      1060       1636       28       27   100  0:46:00.4  +41:27:13.6       140       135        -270        -225          0  -258  -236       38  pv      250421-1439
 189      1631       1636       16       16     0  0:41:46.5  +41:27:23.1       120       120        -310        -270          0  -310  -270       38  nn      250421-1441
 190      1671       1647       14       10   135  0:41:28.7  +41:28:17.5        70        50        -310        -270          0  -310  -270       38  nn      250421-1442
 191      1504       1652       29       26     0  0:42:43.0  +41:28:44.0       145       130        -280        -240          0  -280  -240       38  nn      250421-1445
 192      1250       1653       29       20   100  0:44:28.0  +41:28:45.6       180       180        -230        -170          0  -218  -180       68  vv      250502-1819
 193      1560       1663       13       12     0  0:42:18.0  +41:29:38.8        65        60        -288        -270          0  -288  -270       38  nn      250421-1451
 194      1178       1668       12       12     0  0:45:08.1  +41:29:58.4       160       160        -220        -180          0  -215  -188       38  pv      250421-1459
 195      1721       1668       18       15     0  0:41:06.4  +41:30:01.4       150       150        -310        -270          0  -310  -270       38  pp      250421-1500
 196      1589       1677       15       15     0  0:42:05.1  +41:30:48.6        75        75        -300        -240          0  -300  -240       38  nn      250421-1501
 197       946       1679       17       17     0  0:46:51.4  +41:30:42.6       150       150        -250        -200          0  -250  -200       38  pp      250421-1502
 198      1642       1681       27       20    90  0:41:41.5  +41:31:07.9       160       130        -305        -270          0  -305  -270       38  nn      250421-1503
 199      1697       1689       15       13    90  0:41:17.0  +41:31:47.0        75        65        -320        -270          0  -320  -270       38  nn      250421-1503
 200      1035       1692       23       20    90  0:46:11.8  +41:31:52.4       115       100        -250        -230          0  -250  -230       38  vv      250421-1504
 201      1163       1694       15        9   100  0:45:14.8  +41:32:07.9        75        45        -200        -120          0  -200  -120       38  nn      250421-1505
 202      1136       1695       19       18    90  0:45:26.8  +41:32:11.9        95        90        -240        -120          0  -240  -120       38  nn      250421-1505
 203      1345       1697       49       36    90  0:43:53.8  +41:32:27.7       360       240        -240        -100          0  -240  -100       38  nn      250421-1506
 204      1202       1699       10        8     0  0:44:57.5  +41:32:34.2        50        40        -433          68          0  -433    68       38  ??      250407-1048
 205      1601       1730       17       15     0  0:42:02.7  +41:35:13.5        97        97        -280        -260          0  -280  -265       68  pv      250502-1820
 206      1536       1736       35       22   110  0:42:26.2  +41:36:43.9       175       145        -280        -230          0  -267  -240       98  pv      250421-1513
 207       858       1737       16       13    90  0:47:30.9  +41:35:26.9       110        90        -225        -195          0  -215  -198      188  pv      250421-1515
 208      1186       1741       13       10    90  0:45:04.7  +41:36:03.7        65        50        -362          54          0  -362    54       38  nn      250421-1606
 209      1477       1744       13       12    90  0:42:55.0  +41:36:24.0        65        60        -397         -54          0  -397   -54       38  nn      250421-1606
 210      1148       1745       15       15     0  0:45:21.7  +41:36:22.3        75        75        -200        -100          0  -200  -100       38  nn      250421-1516
 211      1281       1752       26       25     0  0:44:22.4  +41:37:01.4       200       200        -140         -40          0  -140   -40       38  vv      250421-1520
 212      1602       1754       17       13    85  0:41:59.3  +41:37:13.5       120       120        -295        -260          0  -292  -270      188  nn      250421-1522
 213      1065       1760       53       43     0  0:45:58.7  +41:37:33.8       265       215        -200        -160          0  -200  -160       38  pv      250421-1524
 214       982       1770       10        8    80  0:46:35.8  +41:38:19.6        50        40        -225        -200          0  -225  -200       38  nn      250421-1525
 215      1174       1773       11        8    90  0:45:10.2  +41:38:43.3        55        40        -200        -100          0  -200  -100       38  nn      250421-1526
 216       902       1774       14       14     0  0:47:11.5  +41:38:34.8        70        70        -240        -200          0  -240  -200       38  vv      250421-1526
 217      1461       1774       10        7   160  0:43:01.1  +41:38:43.9        50        35        -250        -180          0  -250  -180       38  nn      250421-1537
 218      1534       1780       14       10   110  0:42:29.6  +41:39:24.0       140       100        -275        -230          0  -260  -240       38  pv      250421-1539
 219      1652       1785       35       31     0  0:41:36.9  +41:39:47.8       175       155        -300        -250          0  -300  -250       38  nn      250421-1540
 220      1418       1788       10        9     0  0:43:21.3  +41:40:03.6        50        45        -240        -120          0  -240  -120       38  nn      250421-1541
 221      1121       1793       13       12    80  0:45:33.9  +41:40:21.3        65        60        -240        -100          0  -240  -100       38  nn      250421-1541
 222      1066       1794       16       15    90  0:45:58.4  +41:40:23.9        80        75        -230        -100          0  -230  -100       38  pp      250421-1542
 223      1400       1798       15       15     0  0:43:29.4  +41:40:53.5        75        75        -230        -180          0  -230  -180       38  nn      250421-1543
 224      1237       1799       13       12    90  0:44:42.1  +41:40:55.3       155       155        -130         -60          0  -120   -67       98  pv      250421-1546
