id  ra_pix dec_pix major minor pa  ra_hms    dec_dms     maj_as min_as vmin_kms vmax_kms collide v1   v2   v_ang good date        center_vel expansion_vel radius_pc r_kpc   R_kpc   alpha_deg N_HI_cm2    h_pc    n_HI_cm3 dot_e_bubble SN_num   M_sweep_g  p_rad_cgs  p_perSN_cgs turb_v_min_kms turb_v_max_kms SN_weaver SN_chevalier SN_hybrid SN_weaver_original n_HI_center_cm-3 n_HI_ellipse_cm-3 n_HI_ring_cm-3
62  1226   1475    16    14    0   0:44:47.2 +41:13:55.0 90     90     -320     -230     0       -295 -252 188   pv   250420-1757 -273.5     21.5          324       21.4382 21.1852 -23.3108  1.01367e+21 520.964 0.07295  3.8734e-28   5.56001  6.5608e+38 1.4106e+45 2.537e+44   11.3393        13.3454        11.12     14.0987      11.12     5.56001            0.0513732        0.0538378         0.0559936     
64  1354   1479    24    24    0   0:43:49.5 +41:14:17.9 150    150    -320     -270     0       -313 -278 98    pv   250420-1804 -295.5     17.5          540       12.4198 12.3023 -21.4593  3.15832e+21 378.837 0.312565 1.2307e-27   73.0695  1.3014e+40 2.2775e+46 3.1169e+44  19.6886        22.9497        146.139   265.418      146.139   73.0695            0.220116         0.225427          0.223138      
65  1679   1489    23    20    90  0:41:25.4 +41:15:07.3 150    125    -412     -338     0       -389 -349 68    pv   250420-1812 -369       20            540       10.1445 10.2605 149.293   2.62722e+21 346.168 0.284541 1.8303e-27   86.8811  1.1847e+40 2.3695e+46 2.7273e+44  28.7624        34.1407        173.762   288.024      173.762   86.8811            0.200381         0.221747          0.220918      
66  1151   1563    18    17    0   0:45:19.7 +41:21:12.5 120    120    -265     -240     0       -260 -245 98    pv   250421-1006 -252.5     7.5           432       22.1385 22.0235 -35.9693  9.10797e+20 534.377 0.063902 1.4041e-29   1.40483  1.3623e+39 1.0217e+45 7.2727e+44  11.708         15.146         2.80966   6.82727      2.80966   1.40483            0.0450011        0.0452919         0.0482616     
67  1291   1577    24    17    80  0:44:17.6 +41:22:26.7 140    130    -263     -215     0       -251 -227 68    pv   250421-1012 -239       12            504       12.0298 11.9176 -45.013   3.75335e+21 372.681 0.377588 4.8729e-28   33.7451  1.2782e+40 1.5339e+46 4.5455e+44  21.0309        22.6457        67.4902   155.946      67.4902   33.7451            0.265907         0.280325          0.258557      
68  1762   1585    24    15    130 0:40:48.3 +41:23:05.4 170    130    -324     -295     0       -320 -303 38    pv   250421-1015 -311.5     8.5           612       20.544  20.6622 167.517   1.05545e+21 512.596 0.077197 2.5742e-29   6.1977   4.679e+39  3.9771e+45 6.4171e+44  13.4418        16.0898        12.3954   29.8016      12.3954   6.1977             0.0543641        0.051412          0.0477576     
69  1671   1591    21    16    150 0:41:28.8 +41:23:37.5 130    110    -343     -290     0       -334 -310 158   pv   250421-1020 -322       12            468       14.7118 14.8304 175.566   2.10165e+21 419.287 0.187926 2.1557e-28   13.447   5.0936e+39 6.1123e+45 4.5455e+44  17.6266        20.7029        26.894    56.6451      26.894    13.447             0.132342         0.133441          0.129918      
70  1337   1618    15    15    0   0:44:00.2 +41:26:22.6 100    100    -190     -110     0       -175 -137 158   pv   250421-1103 -156       19            360       7.49722 7.17758 -62.0757  1.58745e+21 296.841 0.2005   1.2895e-27   16.3707  2.4735e+39 4.6997e+45 2.8708e+44  20.4069        21.6875        32.7414   51.1167      32.7414   16.3707            0.141197         0.13341           0.120497      
71  1728   1634    23    22    0   0:41:03.3 +41:27:11.3 150    150    -310     -280     0       -303 -285 68    pv   250421-1437 -294       9             540       20.755  20.8737 176.718   8.40821e+20 515.979 0.061095 2.4025e-29   3.77757  2.5438e+39 2.2894e+45 6.0606e+44  12.3788        15.5259        7.55514   16.8116      7.55514   3.77757            0.0430249        0.0442548         0.0461543     
72  1060   1636    28    27    100 0:46:00.4 +41:27:13.6 140    135    -270     -225     0       -258 -236 38    pv   250421-1439 -247       11            504       24.8982 24.7852 -42.7578  7.56195e+20 578.563 0.049003 3.1377e-29   3.67989  1.6589e+39 1.8247e+45 4.9587e+44  8.10978        14.3363        7.35978   14.0236      7.35978   3.67989            0.0345089        0.0355375         0.0353805     
73  1178   1668    12    12    0   0:45:08.1 +41:29:58.4 160    160    -220     -180     0       -215 -188 38    pv   250421-1459 -201.5     13.5          576       15.6002 15.4924 -53.6818  3.4772e+21  429.879 0.303264 4.831e-28    51.2028  1.5324e+40 2.0688e+46 4.0404e+44  20.6524        23.7212        102.406   218.223      102.406   51.2028            0.213566         0.220354          0.228137      
74  1601   1730    17    15    0   0:42:02.7 +41:35:13.5 97     97     -280     -260     0       -280 -265 68    pv   250502-1820 -272.5     7.5           349.2     16.9257 17.4971 203.358   1.84388e+21 461.953 0.149648 3.8038e-29   1.73762  1.685e+39  1.2637e+45 7.2727e+44  18.6249        42.9625        3.47524   9.1166       3.47524   1.73762            0.105386         0.104654          0.0996213     
75  1536   1736    35    22    110 0:42:26.2 +41:36:43.9 175    145    -280     -230     0       -267 -240 98    pv   250421-1513 -253.5     13.5          630       14.5713 13.6676 216.962   2.13362e+21 400.682 0.199642 3.4121e-28   44.1043  1.32e+40   1.782e+46  4.0404e+44  16.3606        17.4256        88.2086   180.704      88.2086   44.1043            0.140593         0.15637           0.182682      
