3162 11.470091 42.349827 20.116 0.040 20.241 0.026 0.21   132.8   9.0   5.7  15.4  5.6e+02  2.8e+02  1.6e+03   3.6   2.7   4.8  2.1e+02  1.4e+02  2.2e+02
3163 11.816923 42.355450 19.247 0.025 17.368 0.006 0.20   148.5 506.5 502.7 510.3  1.9e+06  1.9e+06  1.9e+06 341.5 339.1 344.0  1.1e+06  1.1e+06  1.1e+06
3164 11.546288 42.386353 19.157 0.024 19.261 0.015 0.14   141.8  12.4   8.9  16.6  9.1e+02  8.2e+02  2.2e+03   4.2   3.6   5.1  3.0e+02  3.0e+02  3.1e+02
3165 11.581243 42.392914 18.476 0.017 18.516 0.010 0.24   146.2  20.4  17.3  25.8  9.0e+03  9.0e+03  1.5e+04   6.1   5.3   7.1  2.0e+03  1.2e+03  2.8e+03
3166 11.551066 42.393799 19.276 0.025 19.491 0.017 0.21   135.0   3.6   2.5   5.0  3.6e+02  2.8e+02  5.0e+02   2.1   1.6   2.6  2.2e+02  2.2e+02  3.0e+02
3167 11.527458 42.415817 19.260 0.025 19.362 0.015 0.17   130.5  12.5   8.9  16.7  1.0e+03  9.4e+02  2.5e+03   4.2   3.6   5.1  3.4e+02  3.4e+02  3.5e+02
3168 11.703994 42.437664 18.960 0.021 19.108 0.013 0.17   177.8   7.5   5.9   9.6  1.0e+03  6.0e+02  1.3e+03   3.2   2.8   3.7  3.0e+02  3.0e+02  4.4e+02
3169 11.647018 42.438034 18.873 0.020 18.867 0.012 0.05   123.8  40.2  30.2  45.0  3.4e+03  2.5e+03  3.4e+03   9.7   7.9  13.5  7.8e+02  5.5e+02  7.8e+02
3170 11.746002 42.449223 18.894 0.021 18.970 0.013 0.13   218.2  16.6  13.0  20.5  2.6e+03  1.1e+03  2.6e+03   5.1   4.3   6.0  3.6e+02  3.6e+02  5.6e+02
3171 11.876621 42.451752 19.009 0.022 18.981 0.013 0.13   186.8  44.6  38.6  49.9  5.5e+03  5.5e+03  7.5e+03  13.3   9.5  17.6  1.3e+03  1.1e+03  3.0e+03
3172 11.707556 42.460304 18.251 0.015 18.358 0.009 0.28   186.8   9.6   8.1  11.9  6.0e+03  4.5e+03  6.0e+03   3.8   3.4   4.2  2.0e+03  1.4e+03  2.0e+03
3173 11.751269 42.463955 17.220 0.010 17.226 0.005 0.23   578.2  30.5  27.2  35.3  4.5e+04  4.5e+04  6.0e+04   8.0   7.3   8.9  9.8e+03  8.4e+03  1.2e+04
